epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3718.3,0.58166,0.89573,0.51014,0.89249,0.91152,0.89439,0.9427,0.84666,0.912,0.89337,0.94154,0.81084,0.45521,0.77475,0.44177,0.86345,0.007129,0.007129,0.007129
31,3823.72,0.57952,0.87081,0.50218,0.8914,0.9096,0.89114,0.94114,0.84899,0.90836,0.89221,0.94085,0.81496,0.45444,0.76918,0.4357,0.86445,0.00703,0.00703,0.00703
32,3930.09,0.57485,0.87004,0.5027,0.88898,0.91897,0.87611,0.94035,0.84775,0.91871,0.87585,0.94009,0.81715,0.45472,0.77548,0.44671,0.86585,0.006931,0.006931,0.006931
33,4048.76,0.57225,0.85884,0.49639,0.88987,0.92299,0.87966,0.94494,0.85235,0.92246,0.87915,0.94315,0.81845,0.45498,0.78899,0.44157,0.86769,0.006832,0.006832,0.006832
34,4153.44,0.57146,0.86068,0.49314,0.88654,0.90184,0.89556,0.94262,0.85015,0.90061,0.89432,0.94032,0.81696,0.4531,0.77828,0.44405,0.86264,0.006733,0.006733,0.006733
35,4257.4,0.573,0.87255,0.49431,0.89059,0.9104,0.88987,0.94184,0.85278,0.9104,0.88987,0.94257,0.81728,0.44584,0.75309,0.4385,0.86012,0.006634,0.006634,0.006634
36,4362.33,0.57348,0.86472,0.49549,0.88792,0.91461,0.89666,0.94557,0.8549,0.91105,0.89335,0.94027,0.81558,0.44703,0.77135,0.43536,0.86072,0.006535,0.006535,0.006535
37,4467.57,0.5678,0.85556,0.48947,0.88777,0.91502,0.89513,0.94526,0.8545,0.91543,0.89444,0.94334,0.822,0.44824,0.7595,0.42235,0.86414,0.006436,0.006436,0.006436
38,4573.05,0.56566,0.84755,0.48468,0.88516,0.91414,0.88913,0.9426,0.85444,0.91453,0.88915,0.94253,0.82054,0.44277,0.73778,0.43313,0.86019,0.006337,0.006337,0.006337
39,4677.07,0.5647,0.84997,0.48398,0.88597,0.90789,0.88836,0.94307,0.85574,0.90775,0.88695,0.94166,0.81629,0.44249,0.76473,0.43176,0.86195,0.006238,0.006238,0.006238
40,4782.41,0.56368,0.84495,0.48388,0.88544,0.91254,0.89177,0.94429,0.8549,0.90958,0.88898,0.9416,0.81682,0.44116,0.75516,0.42807,0.85975,0.006139,0.006139,0.006139
41,4888.75,0.55958,0.84125,0.47937,0.88334,0.90986,0.89091,0.94485,0.85539,0.90853,0.8911,0.94272,0.82083,0.44275,0.73712,0.42972,0.85964,0.00604,0.00604,0.00604
42,4994.79,0.56113,0.83906,0.47553,0.88476,0.90629,0.896,0.9477,0.85831,0.90711,0.89598,0.94665,0.82211,0.43836,0.74087,0.41864,0.85832,0.005941,0.005941,0.005941
43,5102.54,0.55928,0.83682,0.47423,0.88223,0.91088,0.89773,0.94834,0.85893,0.91136,0.89816,0.94883,0.82609,0.44167,0.7382,0.41974,0.86318,0.005842,0.005842,0.005842
44,5209.1,0.55536,0.82514,0.47094,0.88149,0.90981,0.8983,0.94649,0.85693,0.9093,0.89775,0.9451,0.82153,0.43742,0.74227,0.4202,0.85929,0.005743,0.005743,0.005743
45,5314.85,0.55233,0.82504,0.46631,0.88037,0.91547,0.8901,0.94552,0.85548,0.916,0.89053,0.94432,0.82208,0.44291,0.75718,0.42325,0.86133,0.005644,0.005644,0.005644
46,5420.64,0.55179,0.83323,0.46975,0.87902,0.91131,0.89032,0.94569,0.8596,0.91226,0.891,0.94565,0.82362,0.43623,0.74593,0.42421,0.85584,0.005545,0.005545,0.005545
47,5525.46,0.55435,0.822,0.46461,0.88121,0.90218,0.90693,0.94678,0.86273,0.90214,0.90431,0.9453,0.82499,0.43272,0.74026,0.4158,0.85389,0.005446,0.005446,0.005446
